Zip Code,BaseDate,3-Month,6-Month,1-Year
64505,2024-03-31,1.0,2.8,-0.2
34947,2024-03-31,0.6,1.5,3.2
77488,2024-03-31,0.6,1.4,-1.3
78751,2024-03-31,0.6,1.5,0.6
7480,2024-03-31,0.7,1.7,-0.9
13669,2024-03-31,0.5,2.8,0.6
78163,2024-03-31,0.7,1.5,-0.1
33035,2024-03-31,0.5,1.2,2.6
63074,2024-03-31,1.4,3.3,0.5
6461,2024-03-31,1.2,3.3,2.6
35094,2024-03-31,0.8,2.0,0.8
64701,2024-03-31,1.3,3.1,1.2
28307,2024-03-31,1.2,3.1,3.5
2767,2024-03-31,1.1,2.8,1.7
23605,2024-03-31,0.8,1.9,0.5
91208,2024-03-31,0.9,2.0,0.2
53901,2024-03-31,1.4,3.2,0.6
34145,2024-03-31,0.7,1.2,3.8
60555,2024-03-31,1.3,3.1,-0.4
50311,2024-03-31,1.0,2.4,-0.7
65742,2024-03-31,1.0,2.6,2.6
2189,2024-03-31,1.3,3.2,0.6
36054,2024-03-31,0.7,1.5,-0.3
28021,2024-03-31,1.0,2.5,3.1
78416,2024-03-31,0.8,1.9,-1.4
89508,2024-03-31,0.7,1.5,0.6
73142,2024-03-31,0.8,1.8,0.8
37188,2024-03-31,0.9,2.0,2.0
48025,2024-03-31,1.3,3.2,0.3
63025,2024-03-31,1.1,2.7,0.4
75057,2024-03-31,0.9,2.1,1.1
72364,2024-03-31,0.6,1.5,1.2
1746,2024-03-31,1.3,3.1,0.6
44425,2024-03-31,1.4,3.8,2.0
10606,2024-03-31,0.5,1.4,-0.7
33765,2024-03-31,0.6,1.7,3.0
44905,2024-03-31,1.2,3.9,2.9
25401,2024-03-31,1.0,2.5,1.5
12801,2024-03-31,1.0,3.1,1.3
97218,2024-03-31,1.1,2.3,-0.6
39562,2024-03-31,0.8,1.9,0.4
93221,2024-03-31,0.8,2.0,1.2
11751,2024-03-31,0.6,1.6,-0.9
60457,2024-03-31,1.3,3.2,-0.4
54241,2024-03-31,1.4,3.9,2.6
81003,2024-03-31,0.7,2.0,1.5
31516,2024-03-31,1.0,2.3,1.9
96022,2024-03-31,0.6,1.6,-0.2
47111,2024-03-31,0.8,2.0,-0.1
22181,2024-03-31,0.9,1.6,-0.7
41094,2024-03-31,1.2,3.0,1.4
77306,2024-03-31,0.6,1.4,0.2
1095,2024-03-31,1.0,3.0,1.0
6903,2024-03-31,1.3,3.4,2.1
19522,2024-03-31,1.0,2.6,2.0
37642,2024-03-31,1.1,2.9,2.9
7022,2024-03-31,0.6,1.6,-0.9
94556,2024-03-31,1.3,1.9,-2.1
19968,2024-03-31,0.7,1.9,1.3
93723,2024-03-31,0.7,1.5,1.1
64024,2024-03-31,1.4,3.3,1.3
87506,2024-03-31,1.0,2.4,1.7
60088,2024-03-31,1.3,3.3,-0.4
8812,2024-03-31,0.6,1.7,-0.9
30830,2024-03-31,0.9,2.3,1.8
65265,2024-03-31,0.8,2.8,1.4
3303,2024-03-31,1.2,3.4,3.6
23707,2024-03-31,0.8,1.8,0.5
2339,2024-03-31,1.2,2.9,0.5
14210,2024-03-31,1.3,4.2,2.3
90623,2024-03-31,0.9,1.9,0.2
7114,2024-03-31,0.6,1.5,-0.8
54636,2024-03-31,1.1,2.9,0.5
50316,2024-03-31,1.1,2.6,-0.7
43146,2024-03-31,1.3,3.3,2.3
1907,2024-03-31,1.3,3.1,0.6
3842,2024-03-31,1.3,3.1,0.6
76301,2024-03-31,1.2,3.4,2.0
48026,2024-03-31,1.3,3.3,0.4
16505,2024-03-31,1.0,2.8,1.0
62236,2024-03-31,1.2,2.9,0.4
90248,2024-03-31,0.8,1.7,0.1
48623,2024-03-31,1.1,3.8,2.5
